place_id	s2_ids
1253	{38b457,38b45c,38b461,38b4c,3f4b4,3f4b5c,3f4b64,3f4b6c,3f4b7c,3f4b84,3f4b9,3f4c5f,3f4c7,3f4c9,3f4cc}
1254	{3f3a554,3f3ae4,3f3afc,3f3b1,3f3bc,3f3c4,3f3e7,3f3ec}
1350	{3f34c75c}
1378	{38bb4c6c}
5875	{476d1e8c}
13145	{865,8654,865c,865c13,865c5,865c7,865c9,865cc,865cc1c,865cc201,865cc4,865cf,865d04,865d1,865d24,865d284,865daab,8664,86674,866c,86dc,86e4,86e4c,86f,86f4,86fc,8704,871d,874,87a7,87ac}
1255	{41c2c,41dd4,41dd84,41e5c,41e64,41e65,41e71,41e77,41e79,41e7b,41e7c,41e7f5,41e84,41e8c,41ef4}
1256	{38507ab4}
1257	{3f4906e4,3f49ad4c}
28766	{46e25204}
1260	{38b7c,38b81,38b83,38b844,38b85c,38b87,38b884,38b88c}
1273	{3f5fc,3f604,3f61c,41d8d4,41d94,41d9c,41dc4,41dcc,41dd1,41dd24,41ddc,41de4,41de9,41dec,41df4,41dfa414,41dfa434,41e0c}
1261	{38b0d,38b0e4,38b14,38ed1,38ed9,38edb,38edc1,38edf}
1262	{3f4c96cc}
1263	{385a84b4}
1264	{38b56d54}
1265	{41dc067c}
1266	{38ae605c}
1267	{41dfc384}
1268	{38ae119c}
1269	{38987,38989,38a25,38a27,38a2c,38a31,38a37,38a3c}
1270	{3f45048c}
1320	{41dc00a4}
1271	{404df,404e4,404ef,4054,4100aaac,4107,4109,41ac}
1272	{3f4d9,3f4dbc,3f4dd,3f4df,3f4e1,3f51c,3f521,3f527555}
1298	{4293ec14}
1274	{3f44c,3f451,3f453,3f5b5,3f5cac,41de0c,41de14,41de6c}
1280	{3f0d4,3f12c,3f13,3f134,3f139,3f15,3f344,3f37,3f37f,3f39,3f3c,3f3f,3f3f7f,3f3fc,3f404,3f40c,3f41,3f41c,3f421,3f46c,3f47,3f6b,3f6b4,3f6c,3f6d,3f6e01,3f6e1,3f71,3f7204,3f724,3f72b4,3f73,3f74,3f744,3f76c,3f77,3f774,3f9d,3f9d7,3f9d9}
1404	{3f352e64}
1275	{3f6a4,3f6ac,3f78d4,3f794,3f7ec,3f7f4,402d,402ec}
1276	{3f45ebdc}
1277	{41dda324}
1278	{38b05504,38b1b25c}
1279	{38af1fd4}
1299	{427e2b84}
5876	{4765329c}
1318	{43cc8a54}
28767	{471db604}
1281	{3f5f,3f5fc,3f5ff,3f5ffc,3f601,3f604,41c2c,41c34,41c47c,41c4c,41d94,41d95,41db4,41dbc,41dbd,41dbf,41dbfc,41dc1,41dc4,41dc5,41dc9,41dcd,41dcf,41dd,41dd1,41dd3,41dd4,41ddc,41de4,41de84,41de9,41dec,41def4,41df,41dfc,41dfd54,41e001,41e004,41e00c,41e01,41e04,41e07,41e0c,41e1,41e74}
1300	{3813d5b4}
1301	{389eb6ec}
1282	{38c6bee4}
1283	{385830cc}
1284	{38cb4304}
1285	{38b5,38b64,38b7d5,38c83,38c9c,38cb,3f355,3f4ac}
1302	{402c13ec}
1468	{38648564,386e4b54}
1286	{38b62ac,38b7c,38b7f,38b801,38b84,38c78c,38c7f,38c84,38c97,38c9c,38ca2c,38cb,38cbd4}
1287	{3fb7f,3fb84,3fc4,3fdd4,3fdd804,3fe0d,3fe12c,3fe7}
1313	{3890a8a4}
1314	{42337dac}
28768	{46e2e064}
1288	{4242c,425d,425f,4261,4267,428c,4293,42f55}
1289	{38cf4904}
1290	{3f4c8554}
1291	{3f6ebeac}
1292	{3f6aa8c4}
1293	{41ddad0c}
1294	{41de76a4}
1295	{4185,418604,4189,418f,419ab,4224,423b,423d}
1296	{424c6004}
1297	{41dc29ec}
5877	{476570f4}
1303	{4185,4187,4190b,41974,4199,4199c,419b,4224,4225,4227,42284,4228c,4229}
1304	{386e55a4}
1315	{3f520464}
1305	{3f05,3f06004,3f08b,3f0f,3f104,3f17c,3f19,3f1b}
1306	{3f4eea3c}
1307	{38b62c,38b633,38b7c,38b7d,38b81,38b821,38b82204,38c7ffc,38c83,38c836fc,38c84,38c97,38c9b,38c9c,38c9cc,38ca3,38cbd}
1308	{3f4cc1cc}
1309	{38b75,38b764,38b84,38b89,38b8f,38b9b,38b9d,38b9f}
5878	{14be9b3c}
1310	{38b44,38b69,38b6b,38b6d,38b6e4,38b6ec,38b71c,38b73}
1311	{3ff7,3ff9,3fff4,4001,400201,4006d54,4006d59,40074}
1312	{43b7bdb4}
5942	{47126bec}
1321	{38854,3889,388f,3891,3899,389b,38a3,38a5}
1322	{38ca24fc}
1323	{391904b4}
1324	{3ed7f4e4}
1346	{39739bc4}
1469	{3f7ee9ac}
1325	{38c2ac,38dd4,38e44,38e5c,38e64,38e7c,38e81,38e87}
1326	{38b5c,38b61,38b63,38b7d,38c82c,38c9c,38ca1,38ca75}
1327	{37f54494}
1328	{38a1ba0c}
1329	{386c554c}
